# Pathway	A1	A10	A11	A12	A2	A3	A4	A5	A6	A7	A8	A9	B1	B10	B11	B12	B2	B3	B4	B5	B7	B8	B9	C1	C2	C3	C4	C5	C6	C7	MAD001F	MAD005C	MAD006F	MAD009F	MAD012C	MAD012F	MAD013C	MAD013F	MAD014F	MAD015F	MAD024C	MAD024Crep	MAD025C	MAD025F	MAD026C	MAD026F	MAD029F	MAD032F	MAD035F	MAD037F	MAD038C	MAD038F	MAD039F	MAD040F	MAD041F	MAD042F	MAD043F	MAD044F	MAD045F	MAD046F	MAD047F	MAD048C	MAD048F	MAD049C	MAD049F	MAD050C	MAD050F	MAD051C	MAD051F	MAD052C	MAD052F	MAD053C	MAD053F	MAD054C	MAD054F	MAD055C	MAD055F	MAD056C	MAD056F	MAD057C	MAD057F	MAD058C	MAD058F	MAD059F	MAD060C	MAD060F
UNMAPPED	0.212671	0.211807	0.206517	0.22147	0.224462	0.194581	0.306454	0.306723	0.182372	0.181367	0.2123	0.164736	0.229931	0.264991	0.270821	0.241502	0.213665	0.192751	0.218151	0.215253	0.203927	0.174349	0.18764	0.203529	0.244385	0.264271	0.188408	0.184032	0.188464	0.17968	0.17206	0.218497	0.205776	0.216817	0.265352	0.335861	0.184671	0.212602	0.229725	0.259471	0.227806	0.216728	0.302545	0.213349	0.36146	0.230732	0.265172	0.204261	0.281746	0.254965	0.310629	0.23839	0.212108	0.264281	0.272509	0.21721	0.236044	0.232732	0.213922	0.175361	0.195059	0.201686	0.183252	0.183271	0.201487	0.242496	0.235711	0.169014	0.172353	0.206905	0.223229	0.300191	0.323771	0.178827	0.199964	0.364398	0.224481	0.211032	0.215813	0.17549	0.213489	0.193296	0.19686	0.176281	0.214239	0.230783
UNINTEGRATED	0.737324	0.739312	0.738852	0.72496	0.725932	0.76397	0.643837	0.633533	0.768011	0.773669	0.735384	0.790529	0.7171	0.680792	0.663555	0.697623	0.741361	0.750347	0.720978	0.736201	0.736071	0.764744	0.758997	0.744466	0.69488	0.682373	0.752736	0.764398	0.755251	0.776399	0.768542	0.732559	0.732722	0.723424	0.681972	0.600374	0.76131	0.733465	0.713337	0.674421	0.71513	0.724524	0.636603	0.72372	0.561645	0.701211	0.672191	0.726062	0.653367	0.680721	0.638526	0.704456	0.725566	0.677108	0.67541	0.718032	0.699837	0.702629	0.73057	0.778342	0.752687	0.731381	0.754212	0.748017	0.741176	0.701843	0.697478	0.770292	0.764364	0.732349	0.721353	0.636789	0.610681	0.757411	0.747463	0.592729	0.720725	0.734612	0.726503	0.77018	0.728918	0.75088	0.753456	0.782973	0.729358	0.711773
UNINTEGRATED|g__Abiotrophia.s__Abiotrophia_defectiva	0	0	0.0000787545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Abiotrophia.s__Abiotrophia_sp_HMSC24B09	0	0	0.0000923181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Absiella.s__Absiella_dolichum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000243555	0	0	0	0	0	0.000312725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Acetobacter.s__Acetobacter_sp_CAG_267	0	0	0	0.000597114	0	0	0	0	0	0	0	0	0	0.0000391915	0	0	0.0122176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00184005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Acidaminococcus.s__Acidaminococcus_intestini	0	0	0	0	0	0	0	0	0	0	0	0.000147715	0	0	0	0	0	0	0	0	0	0	0.0314976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00144591	0	0.000258127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0031118	0.00963413	0	0	0	0	0	0	0	0	0.000588704	0.0127596	0	0	0	0	0
UNINTEGRATED|g__Actinobaculum.s__Actinobaculum_sp_oral_taxon_183	0	0	0.000139725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0000299782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0000986463	0	0	0	0	0	0
UNINTEGRATED|g__Actinomyces.s__Actinomyces_graevenitzii	0	0	0.000657266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0000693913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00000993667	0	0	0	0	0	0.0000764465	0	0	0	0.0000211716	0	0	0	0.000038736	0	0	0	0	0	0
UNINTEGRATED|g__Actinomyces.s__Actinomyces_johnsonii	0	0	0.000205708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
