OTUID,MAD011C,MAD007C,MAD020C,MAD007F,MAD021F,MAD022F,MAD019F,MAD018F,MAD002F,MAD023F,MAD011F,MAD010C,MAD010F,MAD036F,MAD028F,MAD002C,MAD020F,MAD008F,MAD005F,MAD024F,MAD004F,MAD016F,MAD017F,MAD003F,MAD027F,MAD030F,MAD031F,MAD033F,MAD034F,MAD001F,MAD005C,MAD006F,MAD009F,MAD012C,MAD012F,MAD013C,MAD013F,MAD014F,MAD015F,MAD024C,MAD025C,MAD025F,MAD026C,MAD026F,MAD029F,MAD032F,MAD035F,MAD037F,MAD038C,MAD038F,MAD039F,MAD040F,MAD041F,MAD042F,MAD043F,MAD044F,MAD045F,MAD046F,MAD047F,MAD048C,MAD048F,MAD049C,MAD049F,MAD050C,MAD050F,MAD051C,MAD051F,MAD052C,MAD052F,MAD053C,MAD053F,MAD054C,MAD054F,MAD055C,MAD055F,MAD056C,MAD056F,MAD057C,MAD057F,MAD058C,MAD058F,MAD059C,MAD059F,MAD060C,MAD060F
OTU01_unclassified,3.75,8.01,6.2,8.9,5.46,4.84,6.15,6.05,7.5,3.87,5.53,3.13,7.42,7.69,8.32,5.02,6.5,4.97,6.43,4.49,6.63,6.25,5.43,6.07,7.58,5.1,4.65,4.56,2.9,4.39,4.43,6.18,8.14,8.2,12.76,2.4,4.61,5.59,6.62,9.46,6.02,6.53,5.14,4.43,8.21,7.41,9.53,9.83,16.52,4.84,4.8,11.58,5.91,3.7,6.18,8.39,4.52,8.97,5.59,4.75,4.88,4.93,2.92,4.21,4.32,5.11,3.85,4.88,8.94,7.75,8.42,5.1,4.67,6.33,4.45,7.83,10,5.75,4.37,4.73,7.74,3.29,2.65,6.76,7.45
OTU02_Bifidobacterium adolescentis,0.02,0,1.93,0,0.82,0,3.05,0,0.65,0.36,0,0,0,2.6,0,1.05,0,0,0,0.3,0,3.38,0.31,0,0,6.68,1.62,0,0.71,0,0,1.34,1.69,0,0.22,0,0,0.76,4.58,0.08,1.83,6.22,0,0,0,0,0.58,0,0,0,0,0,0.07,6.17,1.1,4.8,0,0,2.02,0,0,0,3.64,0.08,0.83,0,0,0,0,0.12,0.21,0,0,0.2,3.44,1.03,6.55,0,0,0.54,0,0,0,0.09,3.02
OTU03_Bifidobacterium sp959020155,0.03,0,0,0,0,0,0,0,0.14,0.18,0,0,0,1.4,0,0.28,0,0,0,0.08,0,1.3,0.1,0,0,0,0,0,0.25,0,0,0.34,0.56,0,0,0,0,0,1.46,0.08,1.1,3.42,0,0,0,0,0,0,0,0,0,0,0.02,2.29,0.36,1.4,0,0,0.85,0,0,0,0,0,0.18,0,0,0,0.5,0,0,0,0,0,0.79,0.57,2.77,0,0,0.26,0,0,0,0.05,0.93
OTU04_Bifidobacterium angulatum,0.04,0,0,0,0,0,0,0,0,0,5.2,0,0,1.54,0,0,0,0,0,0,0,0,0,0,0,6.73,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69,0,0,0,0,0,0,0,0,0,0,0,2.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU05_Bifidobacterium longum,0.02,1.13,0,1.13,0.81,0,2.16,3.86,0.32,0,1.48,4.05,0,0,0,0.61,0,2.19,0.71,0.14,1.31,1.57,0,0,0,0,0,0.62,0,8.23,0.16,0.86,0,0,0.35,0.29,1.86,0,0,0.05,0,0,0,0,0,2.63,0.35,0.6,0.29,0,0,0.8,0,3.47,0.29,0.98,0,0,0,0,0,0,1.28,0.11,0.49,3.7,5.65,0.39,1.44,0,0.27,6.5,0.98,1.15,1.03,0.8,0,1.45,5.19,0.76,0.03,0,0,0,0
OTU06_Lawsonella sp018376445,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU07_Collinsella sp902362275,0.64,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.74,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU08_Collinsella sp902475595,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU09_Adlercreutzia rubneri,0.29,0,0.02,0,0,0.06,0,0.09,0.03,0.02,0.06,0,0,0.04,0.17,0.05,0,0.06,0.2,0,0.17,0,0,0.14,0,0,0,0,0,0,0,0.23,0.01,0.05,0.03,0.01,0.04,0.01,0.06,0,0,0.05,0,0,0.09,0.09,0.01,0.17,0,0.11,0.39,0.08,0.06,0.15,0.06,0.06,0.37,0.22,0.01,0,0,0,0.24,0.1,0.13,0,0.01,0,0,0,0.03,0,0,0,0.08,0.1,0.11,0,0,0.16,0.06,0,0.05,0,0.01
OTU10_Adlercreutzia equolifaciens,0.11,0,0,0,0,0.02,0,0.19,0.03,0.03,0.02,0,0,0.02,0.05,0.04,0,0.02,0.2,0.02,0.04,0,0.01,0.13,0,0,0,0.02,0,0,0,0.1,0.01,0.13,0.06,0.02,0.17,0,0.02,0,0,0.05,0,0,0.06,0.17,0.02,0.06,0,0.17,0.35,0.13,0.06,0.19,0.06,0.05,0.17,0.03,0,0,0,0,0.13,0.09,0.14,0,0.02,0,0,0,0.01,0,0,0,0.11,0.17,0.23,0,0.01,0.06,0.04,0,0.05,0,0
