file_header,sample_id
A10_CKDL240021935-1A_22MK2FLT3_L2_1,MAD011C
A11_CKDL240021935-1A_22MK2FLT3_L2_1,MAD007C
A12_CKDL240021935-1A_22MK2FLT3_L2_1,MAD020C
A1_CKDL240021935-1A_22MK2FLT3_L2_1,MAD007F
A2_CKDL240021935-1A_22MK2FLT3_L2_1,MAD021F
A3_CKDL240021935-1A_22MK2FLT3_L2_1,MAD022F
A4_CKDL240021935-1A_22MK2FLT3_L2_1,MAD019F
A5_CKDL240021935-1A_22MK2FLT3_L2_1,MAD018F
A6_CKDL240021935-1A_22MK2FLT3_L2_1,MAD002F
A7_CKDL240021935-1A_22MK2FLT3_L2_1,MAD023F
A8_CKDL240021935-1A_22MK2FLT3_L2_1,MAD011F
A9_CKDL240021935-1A_22MK2FLT3_L2_1,MAD010C
B10_CKDL240021935-1A_22MK2FLT3_L2_1,MAD010F
B11_CKDL240021935-1A_22MK2FLT3_L2_1,MAD036F
B12_CKDL240021935-1A_22MK2FLT3_L2_1,MAD028F
B1_CKDL240021935-1A_22MK2FLT3_L2_1,MAD002C
B2_CKDL240021935-1A_22MK2FLT3_L2_1,MAD020F
B3_CKDL240021935-1A_22MK2FLT3_L2_1,MAD008F
B4_CKDL240021935-1A_22MK2FLT3_L2_1,MAD005F
B5_CKDL240021935-1A_22MK2FLT3_L2_1,MAD024F
B7_CKDL240021935-1A_22MK2FLT3_L2_1,MAD004F
B8_CKDL240021935-1A_22MK2FLT3_L2_1,MAD016F
B9_CKDL240021935-1A_22MK2FLT3_L2_1,MAD017F
C1_CKDL240021935-1A_22MK2FLT3_L2_1,MAD003F
C2_CKDL240021935-1A_22MK2FLT3_L2_1,MAD027F
C3_CKDL240021935-1A_22MK2FLT3_L2_1,MAD029F
C4_CKDL240021935-1A_22MK2FLT3_L2_1,MAD030F
C5_CKDL240021935-1A_22MK2FLT3_L2_1,MAD031F
C6_CKDL240021935-1A_22MK2FLT3_L2_1,MAD033F
C7_CKDL240021935-1A_22MK2FLT3_L2_1,MAD034F
MAD001F_CKDL250010768-1A_22TG33LT4_L2_1,MAD001F
MAD005C_CKDL250010768-1A_22TG33LT4_L2_1,MAD005C
MAD006F_CKDL250010768-1A_22TG33LT4_L2_1,MAD006F
MAD009F_CKDL250010768-1A_22TG33LT4_L2_1,MAD009F
MAD012C_CKDL250010768-1A_22TG33LT4_L2_1,MAD012C
MAD012F_CKDL250010768-1A_22TG33LT4_L2_1,MAD012F
MAD013C_CKDL250010768-1A_22TG33LT4_L2_1,MAD013C
MAD013F_CKDL250010768-1A_22TG33LT4_L2_1,MAD013F
MAD014F_CKDL250010768-1A_22TG33LT4_L2_1,MAD014F
MAD015F_CKDL250010768-1A_22TG33LT4_L2_1,MAD015F
MAD024C_CKDL250010768-1A_22TG33LT4_L2_1,MAD024C
MAD024Crep_CKDL250010768-1A_22TG33LT4_L2_1,MAD024Crep
MAD025C_CKDL250010768-1A_22TG33LT4_L2_1,MAD025C
MAD025F_CKDL250010768-1A_22TG33LT4_L2_1,MAD025F
MAD026C_CKDL250010768-1A_22TG33LT4_L2_1,MAD026C
MAD026F_CKDL250010768-1A_22TG33LT4_L2_1,MAD026F
MAD029F_CKDL250010768-1A_22TG33LT4_L2_1,MAD029F
MAD032F_CKDL250010768-1A_22TG33LT4_L2_1,MAD032F
MAD035F_CKDL250010768-1A_22TG33LT4_L2_1,MAD035F
MAD037F_CKDL250010768-1A_22TG33LT4_L2_1,MAD037F
MAD038C_CKDL250010768-1A_22TG33LT4_L2_1,MAD038C
MAD038F_CKDL250010768-1A_22TG33LT4_L2_1,MAD038F
MAD039F_CKDL250010768-1A_22TG33LT4_L2_1,MAD039F
MAD040F_CKDL250010768-1A_22TG33LT4_L2_1,MAD040F
MAD041F_CKDL250010768-1A_22TG33LT4_L2_1,MAD041F
MAD042F_CKDL250010768-1A_22TG33LT4_L2_1,MAD042F
MAD043F_CKDL250010768-1A_22TG33LT4_L2_1,MAD043F
MAD044F_CKDL250010768-1A_22TG33LT4_L2_1,MAD044F
MAD045F_CKDL250010768-1A_22TG33LT4_L2_1,MAD045F
MAD046F_CKDL250010768-1A_22TG33LT4_L2_1,MAD046F
MAD047F_CKDL250010768-1A_22TG33LT4_L2_1,MAD047F
MAD048C_CKDL250010768-1A_22TG33LT4_L2_1,MAD048C
MAD048F_CKDL250010768-1A_22TG33LT4_L2_1,MAD048F
MAD049C_CKDL250010768-1A_22TG33LT4_L2_1,MAD049C
MAD049F_CKDL250010768-1A_22TG33LT4_L2_1,MAD049F
MAD050C_CKDL250010768-1A_22TG33LT4_L2_1,MAD050C
MAD050F_CKDL250010768-1A_22TG33LT4_L2_1,MAD050F
MAD051C_CKDL250010768-1A_22TG33LT4_L2_1,MAD051C
MAD051F_CKDL250010768-1A_22TG33LT4_L2_1,MAD051F
MAD052C_CKDL250010768-1A_22TG33LT4_L2_1,MAD052C
MAD052F_CKDL250010768-1A_22TG33LT4_L2_1,MAD052F
MAD053C_CKDL250010768-1A_22TG33LT4_L2_1,MAD053C
MAD053F_CKDL250010768-1A_22TG33LT4_L2_1,MAD053F
MAD054C_CKDL250010768-1A_22TG33LT4_L2_1,MAD054C
MAD054F_CKDL250010768-1A_22TG33LT4_L2_1,MAD054F
MAD055C_CKDL250010768-1A_22TG33LT4_L2_1,MAD055C
MAD055F_CKDL250010768-1A_22TG33LT4_L2_1,MAD055F
MAD056C_CKDL250010768-1A_22TG33LT4_L2_1,MAD056C
MAD056F_CKDL250010768-1A_22TG33LT4_L2_1,MAD056F
MAD057C_CKDL250010768-1A_22TG33LT4_L2_1,MAD057C
MAD057F_CKDL250010768-1A_22TG33LT4_L2_1,MAD057F
MAD058C_CKDL250010768-1A_22TG33LT4_L2_1,MAD058C
MAD058F_CKDL250010768-1A_22TG33LT4_L2_1,MAD058F
MAD059C_1,MAD059C
MAD059F_CKDL250010768-1A_22TG33LT4_L2_1,MAD059F
MAD060C_CKDL250010768-1A_22TG33LT4_L2_1,MAD060C
MAD060F_CKDL250010768-1A_22TG33LT4_L2_1,MAD060F
