ssn	fecal_sampleID	cecal_sampleID	fecal_bases	cecal_bases	fecal_Gb	cecal_Gb	delta_Gb_fecal_minus_cecal	ratio_fecal_over_cecal	fecal_read_pairs_PE150	cecal_read_pairs_PE150	fecal_reads_R1R2_PE150	cecal_reads_R1R2_PE150
MAD002	MAD002F	MAD002C	13656043500.0000	18436152300.0000	13.6560	18.4362	-4.7801	0.7407	45520145.0000	61453841.0000	91040290.0000	122907682.0000
MAD005	MAD005F	MAD005C	10418285400.0000	12579596100.0000	10.4183	12.5796	-2.1613	0.8282	34727618.0000	41931987.0000	69455236.0000	83863974.0000
MAD007	MAD007F	MAD007C	18154862700.0000	16090272600.0000	18.1549	16.0903	2.0646	1.1283	60516209.0000	53634242.0000	121032418.0000	107268484.0000
MAD010	MAD010F	MAD010C	14551878000.0000	17355568800.0000	14.5519	17.3556	-2.8037	0.8385	48506260.0000	57851896.0000	97012520.0000	115703792.0000
MAD011	MAD011F	MAD011C	16071317400.0000	14291619900.0000	16.0713	14.2916	1.7797	1.1245	53571058.0000	47638733.0000	107142116.0000	95277466.0000
MAD012	MAD012F	MAD012C	8104460700.0000	10590591900.0000	8.1045	10.5906	-2.4861	0.7653	27014869.0000	35301973.0000	54029738.0000	70603946.0000
MAD013	MAD013F	MAD013C	14069275200.0000	21719657400.0000	14.0693	21.7197	-7.6504	0.6478	46897584.0000	72398858.0000	93795168.0000	144797716.0000
MAD020	MAD020F	MAD020C	17334065700.0000	18658749300.0000	17.3341	18.6587	-1.3247	0.9290	57780219.0000	62195831.0000	115560438.0000	124391662.0000
MAD024	MAD024F	MAD024C	14873668200.0000	7245971400.0000	14.8737	7.2460	7.6277	2.0527	49578894.0000	24153238.0000	99157788.0000	48306476.0000
MAD025	MAD025F	MAD025C	22427358300.0000	17850274500.0000	22.4274	17.8503	4.5771	1.2564	74757861.0000	59500915.0000	149515722.0000	119001830.0000
MAD026	MAD026F	MAD026C	13302761100.0000	18764270100.0000	13.3028	18.7643	-5.4615	0.7089	44342537.0000	62547567.0000	88685074.0000	125095134.0000
MAD038	MAD038F	MAD038C	15659383500.0000	1158095400.0000	15.6594	1.1581	14.5013	13.5217	52197945.0000	3860318.0000	104395890.0000	7720636.0000
MAD048	MAD048F	MAD048C	18642511200.0000	24146101200.0000	18.6425	24.1461	-5.5036	0.7721	62141704.0000	80487004.0000	124283408.0000	160974008.0000
MAD049	MAD049F	MAD049C	21494826900.0000	18799016400.0000	21.4948	18.7990	2.6958	1.1434	71649423.0000	62663388.0000	143298846.0000	125326776.0000
MAD050	MAD050F	MAD050C	16792944300.0000	17142124500.0000	16.7929	17.1421	-0.3492	0.9796	55976481.0000	57140415.0000	111952962.0000	114280830.0000
MAD051	MAD051F	MAD051C	21450222300.0000	15539826300.0000	21.4502	15.5398	5.9104	1.3803	71500741.0000	51799421.0000	143001482.0000	103598842.0000
MAD052	MAD052F	MAD052C	11687968500.0000	34256016300.0000	11.6880	34.2560	-22.5680	0.3412	38959895.0000	114186721.0000	77919790.0000	228373442.0000
MAD053	MAD053F	MAD053C	13163948400.0000	14625559200.0000	13.1639	14.6256	-1.4616	0.9001	43879828.0000	48751864.0000	87759656.0000	97503728.0000
MAD054	MAD054F	MAD054C	16110823200.0000	15663002400.0000	16.1108	15.6630	0.4478	1.0286	53702744.0000	52210008.0000	107405488.0000	104420016.0000
MAD055	MAD055F	MAD055C	19624269900.0000	16355460900.0000	19.6243	16.3555	3.2688	1.1999	65414233.0000	54518203.0000	130828466.0000	109036406.0000
MAD056	MAD056F	MAD056C	15994460100.0000	9043047600.0000	15.9945	9.0430	6.9514	1.7687	53314867.0000	30143492.0000	106629734.0000	60286984.0000
MAD057	MAD057F	MAD057C	17368762200.0000	14441148900.0000	17.3688	14.4411	2.9276	1.2027	57895874.0000	48137163.0000	115791748.0000	96274326.0000
MAD058	MAD058F	MAD058C	9567966000.0000	13936394700.0000	9.5680	13.9364	-4.3684	0.6865	31893220.0000	46454649.0000	63786440.0000	92909298.0000
MAD059	MAD059F	MAD059C	13617072600.0000	9774504051.0000	13.6171	9.7745	3.8426	1.3931	45390242.0000	32581680.1700	90780484.0000	65163360.3400
MAD060	MAD060F	MAD060C	11376403500.0000	13372120800.0000	11.3764	13.3721	-1.9957	0.8508	37921345.0000	44573736.0000	75842690.0000	89147472.0000
