ssn	fecal_sampleID	cecal_sampleID	fecal_samplename	cecal_samplename	n_fecal_files	n_cecal_files	fecal_source_file	cecal_source_file	fecal_fastq	cecal_fastq	fecal_sample	cecal_sample	fecal_bacterial_archaeal_bases	cecal_bacterial_archaeal_bases	fecal_metagenome_size	cecal_metagenome_size	fecal_read_fraction	cecal_read_fraction	fecal_average_bacterial_archaeal_genome_size	cecal_average_bacterial_archaeal_genome_size	fecal_domain_relative_abundance	cecal_domain_relative_abundance	fecal_phylum_relative_abundance	cecal_phylum_relative_abundance	fecal_class_relative_abundance	cecal_class_relative_abundance	fecal_order_relative_abundance	cecal_order_relative_abundance	fecal_family_relative_abundance	cecal_family_relative_abundance	fecal_genus_relative_abundance	cecal_genus_relative_abundance	fecal_species_relative_abundance	cecal_species_relative_abundance	fecal_warning	cecal_warning	delta_read_fraction_fecal_minus_cecal
MAD002	MAD002F	MAD002C	A6	B1	1	1	A6_CKDL240021935-1A_22MK2FLT3_L2.microbial.fraction.tsv	B1_CKDL240021935-1A_22MK2FLT3_L2.microbial.fraction.tsv	A6_clean.fq.gz	B1_clean.fq.gz	A6_CKDL240021935-1A_22MK2FLT3_L2_1	B1_CKDL240021935-1A_22MK2FLT3_L2_1	13377978073	17577823240	13656043500	18436152300	97.9600	95.3400	3851651	3651761	0.3600	0.1400	0.0100	0.0700	0.1300	0.3200	0.3700	0.3700	1.4700	1.4000	5.1700	2.7300	92.5000	94.9800			2.6200
MAD005	MAD005F	MAD005C	B4	MAD005C	1	1	B4_CKDL240021935-1A_22MK2FLT3_L2.microbial.fraction.tsv	MAD005C_CKDL250010768-1A_22TG33LT4_L2.microbial.fraction.tsv	B4_clean.fq.gz	MAD005C_clean.fq.gz	B4_CKDL240021935-1A_22MK2FLT3_L2_1	MAD005C_CKDL250010768-1A_22TG33LT4_L2_1	10472721060	12007387575	10418285400	12579596100	100.0000	95.4500	3561254	3929569	0.4000	0.2400	0.1200	0.2200	0.8400	0.1200	0.6900	0.3800	1.9500	1.8300	2.4300	1.6400	93.5700	95.5700			4.5500
MAD007	MAD007F	MAD007C	A1	A11	1	1	A1_CKDL240021935-1A_22MK2FLT3_L2.microbial.fraction.tsv	A11_CKDL240021935-1A_22MK2FLT3_L2.microbial.fraction.tsv	A1_clean.fq.gz	A11_clean.fq.gz	A1_CKDL240021935-1A_22MK2FLT3_L2_1	A11_CKDL240021935-1A_22MK2FLT3_L2_1	16630227005	16293081466	18154862700	16090272600	91.6000	100.0000	3875263	4085599	0.0600	0.4800	0.1800	0.1800	0.4000	0.4500	0.6500	0.7300	1.4800	1.0400	6.1300	5.1200	91.1000	91.9900			-8.4000
MAD010	MAD010F	MAD010C	B10	A9	1	1	B10_CKDL240021935-1A_22MK2FLT3_L2.microbial.fraction.tsv	A9_CKDL240021935-1A_22MK2FLT3_L2.microbial.fraction.tsv	B10_clean.fq.gz	A9_clean.fq.gz	B10_CKDL240021935-1A_22MK2FLT3_L2_1	A9_CKDL240021935-1A_22MK2FLT3_L2_1	13672816277	16952114710	14551878000	17355568800	93.9600	97.6800	3453124	4190985	0.7000	0.0800	0.0700	0.1900	0.3900	0.0700	0.4200	0.2900	2.1400	0.9600	3.7000	1.5300	92.5800	96.8700			-3.7200
MAD011	MAD011F	MAD011C	A8	A10	1	1	A8_CKDL240021935-1A_22MK2FLT3_L2.microbial.fraction.tsv	A10_CKDL240021935-1A_22MK2FLT3_L2.microbial.fraction.tsv	A8_clean.fq.gz	A10_clean.fq.gz	A8_CKDL240021935-1A_22MK2FLT3_L2_1	A10_CKDL240021935-1A_22MK2FLT3_L2_1	14754503056	13389097262	16071317400	14291619900	91.8100	93.6800	3761591	3925052	0.3000	0.2800	0.0400	0.0400	0.3000	0.4300	0.4200	0.3200	1.6100	1.0000	2.8700	1.6800	94.4700	96.2500			-1.8700
MAD012	MAD012F	MAD012C	MAD012F	MAD012C	1	1	MAD012F_CKDL250010768-1A_22TG33LT4_L2.microbial.fraction.tsv	MAD012C_CKDL250010768-1A_22TG33LT4_L2.microbial.fraction.tsv	MAD012F_clean.fq.gz	MAD012C_clean.fq.gz	MAD012F_CKDL250010768-1A_22TG33LT4_L2_1	MAD012C_CKDL250010768-1A_22TG33LT4_L2_1	7833844126	9735668195	8104460700	10590591900	96.6600	91.9300	2877075	3452891	0.8500	1.0500	0.3300	0.1100	0.1700	0.4800	0.5000	0.7900	3.6500	1.9300	7.2600	3.8300	87.2400	91.8000			4.7300
MAD013	MAD013F	MAD013C	MAD013F	MAD013C	1	1	MAD013F_CKDL250010768-1A_22TG33LT4_L2.microbial.fraction.tsv	MAD013C_CKDL250010768-1A_22TG33LT4_L2.microbial.fraction.tsv	MAD013F_clean.fq.gz	MAD013C_clean.fq.gz	MAD013F_CKDL250010768-1A_22TG33LT4_L2_1	MAD013C_CKDL250010768-1A_22TG33LT4_L2_1	14352844428	22137871905	14069275200	21719657400	100.0000	100.0000	3748428	3969374	0.4000	0.0200	0.1500	0.0500	0.1500	0.5500	0.4700	0.2200	1.4300	0.4000	2.0100	1.1500	95.3900	97.6000			0.0000
MAD020	MAD020F	MAD020C	B2	A12	1	1	B2_CKDL240021935-1A_22MK2FLT3_L2.microbial.fraction.tsv	A12_CKDL240021935-1A_22MK2FLT3_L2.microbial.fraction.tsv	B2_clean.fq.gz	A12_clean.fq.gz	B2_CKDL240021935-1A_22MK2FLT3_L2_1	A12_CKDL240021935-1A_22MK2FLT3_L2_1	15846021395	17377545029	17334065700	18658749300	91.4200	93.1300	3207223	3404558	0.0900	0.5700	0.2000	0.0700	0.2200	0.2700	0.2000	0.2400	1.3900	1.1100	4.3900	3.9400	93.5000	93.8000			-1.7100
MAD024	MAD024F	MAD024C	B5	MAD024C	1	2	B5_CKDL240021935-1A_22MK2FLT3_L2.microbial.fraction.tsv	MAD024C_CKDL250010768-1A_22TG33LT4_L2.microbial.fraction.tsv	B5_clean.fq.gz	MAD024C_clean.fq.gz	B5_CKDL240021935-1A_22MK2FLT3_L2_1	MAD024C_CKDL250010768-1A_22TG33LT4_L2_1	14695025910	7356291860	14873668200	7245971400	98.8000	100.0000	3427659	3449512	0.3700	0.3100	0.0300	0.1400	0.2300	0.2500	0.2400	0.4500	1.2100	1.6600	2.4000	6.6500	95.5100	90.5400			-1.2000
MAD025	MAD025F	MAD025C	MAD025F	MAD025C	1	1	MAD025F_CKDL250010768-1A_22TG33LT4_L2.microbial.fraction.tsv	MAD025C_CKDL250010768-1A_22TG33LT4_L2.microbial.fraction.tsv	MAD025F_clean.fq.gz	MAD025C_clean.fq.gz	MAD025F_CKDL250010768-1A_22TG33LT4_L2_1	MAD025C_CKDL250010768-1A_22TG33LT4_L2_1	22532442015	15020193507	22427358300	17850274500	100.0000	84.1500	3293673	3134948	0.1900	0.4900	0.2700	0.1600	0.3000	0.0900	0.6000	0.1300	1.2000	0.8000	3.9800	4.3500	93.4700	93.9800			15.8500
MAD026	MAD026F	MAD026C	MAD026F	MAD026C	1	1	MAD026F_CKDL250010768-1A_22TG33LT4_L2.microbial.fraction.tsv	MAD026C_CKDL250010768-1A_22TG33LT4_L2.microbial.fraction.tsv	MAD026F_clean.fq.gz	MAD026C_clean.fq.gz	MAD026F_CKDL250010768-1A_22TG33LT4_L2_1	MAD026C_CKDL250010768-1A_22TG33LT4_L2_1	16019612681	20548750356	13302761100	18764270100	100.0000	100.0000	3673751	3300076	0.2000	0.2500	0.2200	0.8400	0.6000	0.3600	0.2600	0.2200	1.5700	1.4900	1.5900	1.9900	95.5700	94.8600			0.0000
MAD038	MAD038F	MAD038C	MAD038F	MAD038C	1	1	MAD038F_CKDL250010768-1A_22TG33LT4_L2.microbial.fraction.tsv	MAD038C_CKDL250010768-1A_22TG33LT4_L2.microbial.fraction.tsv	MAD038F_clean.fq.gz	MAD038C_clean.fq.gz	MAD038F_CKDL250010768-1A_22TG33LT4_L2_1	MAD038C_CKDL250010768-1A_22TG33LT4_L2_1	14854438629	835305544	15659383500	1158095400	94.8600	72.1300	3771876	3644599	0.2100	1.2000	0.0700	0.1900	0.3100	1.2200	0.4900	1.6000	1.6200	7.6400	2.1400	4.6800	95.1600	83.4800			22.7300
MAD048	MAD048F	MAD048C	MAD048F	MAD048C	1	1	MAD048F_CKDL250010768-1A_22TG33LT4_L2.microbial.fraction.tsv	MAD048C_CKDL250010768-1A_22TG33LT4_L2.microbial.fraction.tsv	MAD048F_clean.fq.gz	MAD048C_clean.fq.gz	MAD048F_CKDL250010768-1A_22TG33LT4_L2_1	MAD048C_CKDL250010768-1A_22TG33LT4_L2_1	19101957702	26241532101	18642511200	24146101200	100.0000	100.0000	3911018	3665991	0.1200	0.6700	0.1700	0.1100	0.4000	0.2800	0.4000	0.3300	1.1600	1.0600	2.6400	2.2900	95.1200	95.2500			0.0000
MAD049	MAD049F	MAD049C	MAD049F	MAD049C	1	1	MAD049F_CKDL250010768-1A_22TG33LT4_L2.microbial.fraction.tsv	MAD049C_CKDL250010768-1A_22TG33LT4_L2.microbial.fraction.tsv	MAD049F_clean.fq.gz	MAD049C_clean.fq.gz	MAD049F_CKDL250010768-1A_22TG33LT4_L2_1	MAD049C_CKDL250010768-1A_22TG33LT4_L2_1	21986887657	19520565222	21494826900	18799016400	100.0000	100.0000	3246404	3322440	0.1500	0.1900	0.1900	0.3500	0.3300	0.1300	0.2600	0.2400	0.8300	0.6400	1.1600	3.3800	97.0800	95.0700			0.0000
MAD050	MAD050F	MAD050C	MAD050F	MAD050C	1	1	MAD050F_CKDL250010768-1A_22TG33LT4_L2.microbial.fraction.tsv	MAD050C_CKDL250010768-1A_22TG33LT4_L2.microbial.fraction.tsv	MAD050F_clean.fq.gz	MAD050C_clean.fq.gz	MAD050F_CKDL250010768-1A_22TG33LT4_L2_1	MAD050C_CKDL250010768-1A_22TG33LT4_L2_1	17994890223	14597050524	16792944300	17142124500	100.0000	85.1500	3364355	4209530	0.7200	0.1100	0.1800	0.1000	0.1700	0.1800	0.3500	0.3300	1.6100	1.4500	1.3000	2.0500	95.6800	95.7900			14.8500
